S. No.,Sr_No,Region_Nam,Region_Cod,Subdivisio,SubDiv_Cod,Unique_Stn,State_Name,State_Code,District_N,District_C,Block_Name,Block_code,Station_Name,Station_Code,Station_Ty,Latitude,Longitude,RMC_MC,RMC_MC_ID,SUBBASIN,BASIN,FMO,FMO_Code,River_Basin_Code,UIN
80,4566,EAST AND NORTH EAST INDIA,2,BIHAR,203,203BHR0098,BIHAR,20303,DARBHANGA,20303010,Alinagar,2030301001,ALINAGAR,2.0303E+12,ORG,26.073037,86.249242,MC PATNA,11,Bagmati Adhwara,Ganga,PATNA,22,180,22180
81,4567,EAST AND NORTH EAST INDIA,2,BIHAR,203,203BHR0100,BIHAR,20303,DARBHANGA,20303010,Darbhanga,2030301006,DARBHANGA,2.0303E+12,ORG,26.166667,85.9,MC PATNA,11,Bagmati Adhwara,Ganga,PATNA,22,180,22180
82,4568,EAST AND NORTH EAST INDIA,2,BIHAR,203,203BHR0099,BIHAR,20303,DARBHANGA,20303010,Biraul,2030301005,GAURA BAURAM,2.0303E+12,ORG,25.944196,86.252532,MC PATNA,11,Bagmati Adhwara,Ganga,PATNA,22,180,22180
83,4569,EAST AND NORTH EAST INDIA,2,BIHAR,203,203BHR0102,BIHAR,20303,DARBHANGA,20303010,Ghanshyampur,2030301007,GHANSHYAMPUR,2.0303E+12,ORG,26.0653,86.3237,MC PATNA,11,Bagmati Adhwara,Ganga,PATNA,22,180,22180
84,4570,EAST AND NORTH EAST INDIA,2,BIHAR,203,203BHR0103,BIHAR,20303,DARBHANGA,20303010,Hayaghat,2030301010,HAYAGHAT,2.0303E+12,ORG,26.008,85.887,MC PATNA,11,Bagmati Adhwara,Ganga,PATNA,22,180,22180
85,4571,EAST AND NORTH EAST INDIA,2,BIHAR,203,203BHR0104,BIHAR,20303,DARBHANGA,20303010,Jale,2030301011,JALEY,2.0303E+12,ORG,26.366667,85.733333,MC PATNA,11,Bagmati Adhwara,Ganga,PATNA,22,180,22180
86,4572,EAST AND NORTH EAST INDIA,2,BIHAR,203,203BHR0101,BIHAR,20303,DARBHANGA,20303010,Darbhanga,2030301006,KAMTAUL,2.0303E+12,ORG,26.166667,85.8,MC PATNA,11,Bagmati Adhwara,Ganga,PATNA,22,180,22180
87,4573,EAST AND NORTH EAST INDIA,2,BIHAR,203,203BHR0105,BIHAR,20303,DARBHANGA,20303010,Kusheshwar asthan west,2030301015,KUSHESWARSTAN,2.0303E+12,ORG,25.8319,86.2664,MC PATNA,11,Bagmati Adhwara,Ganga,PATNA,22,180,22180
88,4574,EAST AND NORTH EAST INDIA,2,BIHAR,203,203BHR0106,BIHAR,20303,DARBHANGA,20303010,Tardih,2030301018,TARDIH,2.0303E+12,ORG,26.150499,86.25793,MC PATNA,11,Bagmati Adhwara,Ganga,PATNA,22,180,22180
174,4660,EAST AND NORTH EAST INDIA,2,BIHAR,203,203BHR0195,BIHAR,20303,KHAGARIA,20303017,Alauli,2030301701,ALAULI,2.0303E+12,ORG,25.6412,86.399,MC PATNA,11,Bagmati Adhwara,Ganga,PATNA,22,180,22180
